0.005	 1.073	 0.068
0.010	 0.989	 -0.021
0.015	 1.072	 0.057
0.020	 1.080	 0.060
0.025	 1.107	 0.082
0.030	 0.970	 -0.060
0.035	 1.002	 -0.033
0.040	 1.094	 0.054
0.045	 1.001	 -0.044
0.050	 1.061	 0.011
0.055	 1.050	 -0.005
0.060	 1.086	 0.026
0.065	 1.038	 -0.027
0.070	 1.073	 0.003
0.075	 1.165	 0.090
0.080	 1.163	 0.083
0.085	 1.112	 0.027
0.090	 1.133	 0.043
0.095	 1.023	 -0.072
0.100	 1.121	 0.021
0.105	 1.008	 -0.097
0.110	 1.059	 -0.051
0.115	 1.042	 -0.073
0.120	 1.181	 0.061
0.125	 1.056	 -0.069
0.130	 1.110	 -0.020
0.135	 1.061	 -0.074
0.140	 1.062	 -0.078
0.145	 1.245	 0.100
0.150	 1.094	 -0.056
0.155	 1.158	 0.003
0.160	 1.228	 0.068
0.165	 1.188	 0.023
0.170	 1.129	 -0.041
0.175	 1.203	 0.028
0.180	 1.185	 0.005
0.185	 1.184	 -0.001
0.190	 1.285	 0.095
0.195	 1.154	 -0.041
0.200	 1.254	 0.054
0.205	 1.210	 0.005
0.210	 1.264	 0.054
0.215	 1.195	 -0.020
0.220	 1.298	 0.078
0.225	 1.182	 -0.043
0.230	 1.200	 -0.030
0.235	 1.297	 0.062
0.240	 1.324	 0.084
0.245	 1.159	 -0.086
0.250	 1.340	 0.090
0.255	 1.260	 0.005
0.260	 1.177	 -0.083
0.265	 1.203	 -0.062
0.270	 1.303	 0.033
0.275	 1.353	 0.078
0.280	 1.250	 -0.030
0.285	 1.198	 -0.087
0.290	 1.194	 -0.096
0.295	 1.287	 -0.008
0.300	 1.213	 -0.087
0.305	 1.253	 -0.052
0.310	 1.404	 0.094
0.315	 1.395	 0.080
0.320	 1.390	 0.070
0.325	 1.278	 -0.047
0.330	 1.338	 0.008
0.335	 1.310	 -0.025
0.340	 1.392	 0.052
0.345	 1.348	 0.003
0.350	 1.384	 0.034
0.355	 1.361	 0.006
0.360	 1.268	 -0.092
0.365	 1.353	 -0.012
0.370	 1.456	 0.086
0.375	 1.461	 0.086
0.380	 1.424	 0.044
0.385	 1.342	 -0.043
0.390	 1.438	 0.048
0.395	 1.423	 0.028
0.400	 1.371	 -0.029
0.405	 1.443	 0.038
0.410	 1.343	 -0.067
0.415	 1.403	 -0.012
